id,name
0,clapping
1,dropping
2,burying
3,covering
4,flooding
5,leaping
6,drinking
7,raining
8,stitching
9,spraying
10,twisting
11,coaching
12,submerging
13,breaking
14,boarding
15,running
16,destroying
17,competing
18,giggling
19,shoveling
20,chasing
21,flicking
22,pouring
23,hammering
24,carrying
25,surfing
26,pulling
27,squatting
28,crouching
29,tapping
30,skipping
31,washing
32,winking
33,queuing
34,locking
35,stopping
36,sneezing
37,flipping
38,sewing
39,clipping
40,working
41,rocking
42,asking
43,playing fun
44,camping
45,plugging
46,pedaling
47,constructing
48,slipping
49,sweeping
50,screwing
51,shrugging
52,hitchhiking
53,cracking
54,scratching
55,trimming
56,selling
57,stirring
58,jumping
59,starting
60,clinging
61,socializing
62,picking
63,splashing
64,licking
65,kicking
66,sliding
67,filming
68,driving
69,handwriting
70,steering
71,filling
72,pressing
73,shouting
74,hiking
75,vacuuming
76,pointing
77,giving
78,diving
79,hugging
80,building
81,dining
82,floating
83,leaning
84,sailing
85,singing
86,playing
87,bubbling
88,joining
89,raising
90,sitting
91,drawing
92,rinsing
93,coughing
94,slicing
95,balancing
96,rafting
97,kneeling
98,dunking
99,brushing
100,crushing
101,watering
102,playing music
103,removing
104,tearing
105,imitating
106,teaching
107,cooking
108,reaching
109,studying
110,serving
111,bulldozing
112,shaking
113,discussing
114,dragging
115,gardening
116,performing
117,officiating
118,photographing
119,sowing
120,dripping
121,writing
122,clawing
123,bending
124,boxing
125,mopping
126,gripping
127,flowing
128,digging
129,tripping
130,cheering
131,buying
132,bicycling
133,feeding
134,emptying
135,unpacking
136,sketching
137,standing
138,weeding
139,stacking
140,drying
141,crying
142,spinning
143,frying
144,cutting
145,paying
146,eating
147,lecturing
148,dancing
149,female adult speaking
150,boiling
151,peeling
152,wrapping
153,wetting
154,welding
155,putting
156,swinging
157,carving
158,walking
159,inflating
160,climbing
161,shredding
162,reading
163,sanding
164,frowning
165,closing
166,hunting
167,clearing
168,launching
169,packaging
170,fishing
171,spilling
172,leaking
173,knitting
174,boating
175,sprinkling
176,playing sports
177,rolling
178,spitting
179,dipping
180,riding
181,chopping
182,extinguishing
183,applauding
184,calling
185,talking
186,male adult speaking
187,snowing
188,shaving
189,marrying
190,rising
191,laughing
192,crawling
193,flying
194,assembling
195,injecting
196,landing
197,operating
198,packing
199,descending
200,falling
201,entering
202,pushing
203,sawing
204,smelling
205,overflowing
206,waking
207,barbecuing
208,skating
209,painting
210,drilling
211,tying
212,manicuring
213,plunging
214,grilling
215,pitching
216,towing
217,telephoning
218,crafting
219,knocking
220,playing video games
221,storming
222,placing
223,turning
224,barking
225,child singing
226,opening
227,juggling
228,mowing
229,sniffing
230,interviewing
231,stomping
232,chewing
233,grooming
234,rowing
235,bowing
236,gambling
237,saluting
238,fueling
239,autographing
240,throwing
241,drenching
242,waving
243,signing
244,repairing
245,baking
246,smoking
247,skiing
248,drumming
249,child speaking
250,blowing
251,cleaning
252,combing
253,spreading
254,racing
255,combusting
256,female adult singing
257,swimming
258,male adult singing
259,shopping
260,bouncing
261,dusting
262,stroking
263,snapping
264,biting
265,roaring
266,guarding
267,unloading
268,lifting
269,instructing
270,folding
271,measuring
272,whistling
273,exiting
274,stretching
275,taping
276,squinting
277,catching
278,draining
279,scrubbing
280,celebrating
281,jogging
282,bowling
283,resting
284,blocking
285,smiling
286,tattooing
287,erupting
288,howling
289,grinning
290,sprinting
291,hanging
292,planting
293,speaking
294,ascending
295,yawning
296,cramming
297,burning
298,wrestling
299,poking
300,tickling
301,exercising
302,loading
303,piloting
304,typing
